model,mean_f1,std_f1
BASELINE-ROBERTALARG,0.44442417693181246,0.01574096062381328
CNN-over-tokens,0.4371828858120556,0.0023535941253617827
DISTIBERT,0.4406309081530592,0.013382676233212248
attention-pooling,0.44160608117487127,0.01948992737099457
