model,mean_f1,std_f1
BASELINE-ROBERTALARG,0.44442417693181246,0.01574096062381328
CNN-over-tokens,0.4377745692694653,0.0012135987955449571
CNN-over-tokens-translated-data,0.4536492584123801,0.010357624253797541
DISTIBERT,0.4406309081530592,0.013382676233212248
attention-pooling,0.44160608117487127,0.01948992737099457
attention-pooling-translated-data,0.4568855496185799,0.006637504046586572
