model,mean_f1,std_f1
BASELINE-ROBERTALARG,0.4342755375067104,0.07981890071201096
CNN-over-tokens,0.4421101139744757,0.08773527581610704
CNN-over-tokens-translated-data,0.4516583094770675,0.0993128962518377
DISTIBERT,0.4437132805805168,0.08945333598570283
attention-pooling,0.41827932101077814,0.055838305151100186
attention-pooling-translated-data,0.453551512373658,0.09825986237793606
